index,batch,parent_order,parent_name,parent_slug,sub_treatment_name,sub_treatment_slug,visual_focus
1,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Women — One Area,women-one-area,"Female patient consultation; clinician gently indicates one upper-face expression area; natural movement; no injection."
2,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Women — Two Areas,women-two-areas,"Female patient consultation assessing forehead and outer-eye expression areas; natural movement; no injection."
3,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Women — Three Areas,women-three-areas,"Female patient full upper-face assessment covering forehead, frown and crow's-feet areas; no injection."
4,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Men — One Area,men-one-area,"Male patient consultation; clinician indicates one upper-face expression area; natural masculine features; no injection."
5,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Men — Two Areas,men-two-areas,"Male patient assessment of forehead and frown areas; natural expression; no injection."
6,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Men — Three Areas,men-three-areas,"Male patient full upper-face assessment covering forehead, frown and crow's-feet areas; no injection."
7,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Four Areas,four-areas,"Consultation-led full-face expression assessment with four subtle target zones implied by clinician gesture; no markings or injection."
8,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Standard Anti-Wrinkle Areas,standard-anti-wrinkle-areas,"Natural expressive portrait during a conservative upper-face consultation; preserve movement and realistic lines."
9,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Nefertiti Lift,nefertiti-lift,"Elegant lower-face and neck profile assessment; clinician indicates jaw-to-neck contour; no injection."
10,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Jawline Slimming,jawline-slimming,"Three-quarter lower-face assessment focused on masseter and jaw balance; conservative proportions; no injection."
11,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Teeth Grinding,teeth-grinding,"Calm clinical assessment of jaw tension with patient gently clenching then relaxing; no pain dramatization."
12,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,TrapTox,traptox,"Respectful upper-shoulder and trapezius consultation with modest clinical clothing; no injection."
13,1,01,Anti-Wrinkle Treatments,anti-wrinkle-treatments,Migraine Treatment,migraine-treatment,"Calm headache-history consultation; clinician discusses temple and forehead symptoms; no injection or brain graphics."
14,1,02,Dermal Fillers,dermal-fillers,Lips 1 ml,lips-1ml,"Natural lip-proportion assessment in close three-quarter portrait; realistic lip texture; no injection and no overfilled look."
15,1,02,Dermal Fillers,dermal-fillers,Cheeks,cheeks,"Clinician assesses mid-face and cheek projection in a natural three-quarter portrait; conservative proportions."
16,1,02,Dermal Fillers,dermal-fillers,Chin,chin,"Side-profile facial-balance consultation focused on chin projection; natural anatomy; no morphing effect."
17,1,02,Dermal Fillers,dermal-fillers,Jawline,jawline,"Lower-face profile assessment focused on jawline definition; natural proportions; no injection."
18,1,02,Dermal Fillers,dermal-fillers,Nasolabial Folds,nasolabial-folds,"Mature smiling patient with authentic nasolabial lines during lower-face assessment; do not erase natural folds."
19,1,02,Dermal Fillers,dermal-fillers,Marionette Lines,marionette-lines,"Mature patient lower-face consultation focused on mouth-to-chin lines; realistic movement and texture."
20,1,02,Dermal Fillers,dermal-fillers,Upper Lip Lines,upper-lip-lines,"Close natural portrait of mature patient with subtle perioral lines; clinician assesses without touching."
21,1,02,Dermal Fillers,dermal-fillers,Temples,temples,"Three-quarter portrait with clinician assessing temporal hollowing and facial balance; natural hairline and anatomy."
22,1,02,Dermal Fillers,dermal-fillers,Tear Trough,tear-trough,"Rested but realistic eye-area consultation; preserve natural under-eye texture and shadows; no needle near eye."
23,1,02,Dermal Fillers,dermal-fillers,Tear Trough + PRP,tear-trough-and-prp,"Gentle under-eye assessment with a sealed PRP processing tube softly out of focus on a sterile tray; no injection."
24,1,02,Dermal Fillers,dermal-fillers,Non-Surgical Rhinoplasty,non-surgical-rhinoplasty,"Elegant side-profile nose assessment with clinician reviewing facial proportions; no injection or digital morph."
25,1,02,Dermal Fillers,dermal-fillers,Non-Surgical Facelift,non-surgical-facelift,"Full-face planning consultation focused on conservative multi-area balance; natural ageing; no dramatic transformation."
26,1,02,Dermal Fillers,dermal-fillers,Dissolving Filler,dissolving-filler,"Clinician reviews facial symmetry and previous treatment notes; no melting graphics, injection or guaranteed reversal."
27,2,03,Skin Boosters,skin-boosters,General Skin Booster,general-skin-booster,"Close skin-quality consultation focused on hydration and texture; natural dewy finish without artificial glass skin."
28,2,03,Skin Boosters,skin-boosters,Profhilo Skin Booster,profhilo-skin-booster,"Mature adult facial hydration assessment; five-point technique only implied through clinician planning; no branding."
29,2,03,Skin Boosters,skin-boosters,Juvéderm Volite,juvederm-volite,"Product-neutral facial skin-quality consultation; clean hydrated complexion; no branded box or syringe."
30,2,03,Skin Boosters,skin-boosters,Teosyal Redensity,teosyal-redensity,"Product-neutral face and under-eye skin-quality assessment; realistic fine texture; no branding or injection."
31,2,03,Skin Boosters,skin-boosters,Restylane Vital,restylane-vital,"Product-neutral facial hydration consultation with clinician examining elasticity; no visible product branding."
32,2,03,Skin Boosters,skin-boosters,Neofound,neofound,"Unbranded skin-revitalisation consultation focused on luminosity and elasticity; realistic skin."
33,2,03,Skin Boosters,skin-boosters,Klardie,klardie,"Unbranded skin-quality consultation with soft clinical lighting and product-neutral preparation."
34,2,04,Regenerative Treatments,regenerative-treatments,PRP Skin Rejuvenation,prp-skin-rejuvenation,"Natural facial consultation with sealed autologous-processing tubes on a sterile tray; no exposed blood."
35,2,04,Regenerative Treatments,regenerative-treatments,Polynucleotide Skin Rejuvenation,polynucleotide-skin-rejuvenation,"Refined face and neck skin-repair consultation; realistic texture; no DNA, fish or cell graphics."
36,2,04,Regenerative Treatments,regenerative-treatments,Exosome Skin Treatment,exosome-skin-treatment,"Clinician applies an unbranded topical post-microneedling serum to intact facial skin; no injection or cell graphics."
